Area,Division,House Type,Family income,Monthly electricity bill,Bill more than 800 or not,Monthly gas bill,Electricity supply,Average loadshedding duration (hours) Per Day,Loadshedding rate,Have voltage stabilizer,Have electricity meter,Percentage of income used in electricity bil
Urban,Barisal,Pucca,45000,2000,1,800,Yes,10,Few times a day,Yes,Yes,4%
Urban,Barisal,Pucca,25000,1300,1,1100,Yes,6,Few times a day,Yes,Yes,5%
Urban,Barisal,Kaccha,15000,350,0,500,No,,,,,2%
Urban,Barisal,Kaccha,25000,250,0,1150,Yes,4,Few times a day,Yes,Yes,1%
Urban,Barisal,Kaccha,25000,230,0,1200,Yes,5,Few times a day,No,Yes,1%
Urban,Barisal,Kaccha,25000,300,0,0,Yes,3,Few times a day,Yes,Yes,1%
Urban,Barisal,Kaccha,25000,403,0,0,Yes,4,Few times a day,Yes,Yes,2%
Urban,Chattogram,Pucca,45000,600,0,0,Yes,9,Once a day,Yes,Yes,1%
Urban,Chattogram,Kaccha,35000,1200,1,0,Yes,8,Once a day,Yes,Yes,3%
Urban,Chattogram,Pucca,65000,500,0,0,Yes,10,Few times a day,Yes,Yes,1%
Urban,Chattogram,Kaccha,15000,800,1,0,Yes,10,Few times a day,No,Yes,5%
Urban,Chattogram,Kaccha,5000,300,0,0,Yes,10,Few times a day,No,Yes,6%
Urban,Chattogram,Kaccha,35000,1000,1,0,Yes,3,Few times a day,Yes,Yes,3%
Urban,Chattogram,Mixed,15000,456,0,1200,Yes,10,Few times a day,No,Yes,3%
Urban,Chattogram,Kaccha,25000,650,0,0,Yes,10,Few times a day,No,Yes,3%
Urban,Chattogram,Kaccha,15000,200,0,0,Yes,10,Few times a day,No,Yes,1%
Urban,Chattogram,Kaccha,15000,300,0,0,Yes,10,Few times a day,No,Yes,2%
Urban,Chattogram,Kaccha,5000,350,0,1200,Yes,10,Few times a day,No,Yes,7%
Urban,Chattogram,Kaccha,35000,1000,1,0,Yes,12,Few times a day,Yes,Yes,3%
Urban,Chattogram,Kaccha,35000,1000,1,200,Yes,10,Few times a day,No,Yes,3%
Urban,Chattogram,Pucca,45000,1000,1,1280,Yes,3,Few times a day,No,Yes,2%
Urban,Chattogram,Pucca,15000,1500,1,200,Yes,2,Few times a day,No,Yes,10%
Urban,Chattogram,Pucca,45000,900,1,500,Yes,3,Few times a day,No,No,2%
Urban,Chattogram,Pucca,25000,600,0,500,Yes,3,Few times a day,No,Yes,2%
Urban,Chattogram,Pucca,35000,600,0,500,Yes,3,Few times a day,No,Yes,2%
Urban,Chattogram,Pucca,35000,1000,1,500,Yes,3,Few times a day,No,Yes,3%
Urban,Chattogram,Pucca,15000,800,1,500,Yes,1,Few times a day,No,Yes,5%
Urban,Chattogram,Pucca,35000,1000,1,1000,Yes,2,Few times a day,Yes,Yes,3%
Urban,Chattogram,Pucca,15000,1000,1,500,Yes,1,Few times a day,No,Yes,7%
Urban,Chattogram,Pucca,35000,1500,1,1450,Yes,2,Few times a day,No,Yes,4%
Urban,Chattogram,Pucca,35000,1500,1,1450,Yes,3,Few times a day,Yes,Yes,4%
Urban,Chattogram,Pucca,65000,1000,1,1450,Yes,2,Few times a day,No,Yes,2%
Urban,Chattogram,Pucca,45000,2000,1,1450,Yes,2,Few times a day,No,Yes,4%
Urban,Chattogram,Pucca,45000,2000,1,200,Yes,3,Few times a day,Yes,Yes,4%
Urban,Dhaka,Mixed,15000,1500,1,1080,Yes,1,Few times a day,No,Yes,10%
